Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
32,fa86Cf14EFab3DC,Patton Inc,http://moreno.info/,Seychelles,Cloned mobile architecture,2002,Venture Capital / VC,95
33,CAFbcFc67aB9e31,Gay Inc,https://moses-dunn.com/,Myanmar,Polarized explicit focus group,2019,Luxury Goods / Jewelry,8106
34,ad19ebCB2BB7eE5,House-Perry,http://www.hogan.com/,Maldives,Vision-oriented 6thgeneration leverage,1977,Arts / Crafts,2938
35,9f8eFb3D03193DB,Cortez LLC,http://woodard.com/,Antarctica (the territory South of 60 deg S),Customer-focused background approach,1972,Printing,9056
36,2C296aE0AA2Ff5d,Bridges-Carroll,http://blevins-humphrey.com/,Liechtenstein,Extended 24hour implementation,1999,Commercial Real Estate,8937
37,83f947d8Ee5773B,Powers-Mack,https://www.berg.com/,Falkland Islands (Malvinas),Future-proofed grid-enabled application,1983,Sporting Goods,3985
38,d5A9ACE6035F9ce,"Baldwin, Warner and Russell",http://www.hoffman.biz/,Jersey,Persistent disintermediate capacity,1997,Legal Services,7675
39,dAA7BD2c863aA68,Chase-Saunders,https://www.carr.com/,Palestinian Territory,Pre-emptive tertiary solution,1975,Venture Capital / VC,9145
40,D214D152BdF2F3D,Hood-Becker,http://www.houston.org/,Botswana,Automated methodical Graphical User Interface,2004,Human Resources / HR,1175
41,8F55cD0AD6DCdE2,Francis-Frazier,https://roberts.biz/,Christmas Island,Fully-configurable encompassing methodology,2015,Gambling / Casinos,6202
42,DCc0EfbDF7B06D3,Spence-Tran,http://andrews.net/,United States of America,Open-architected foreground flexibility,1996,Package / Freight Delivery,7426
43,Ef7e820BC9f7e49,Mcdowell-Dawson,http://www.townsend-farrell.com/,Chad,Front-line multimedia Internet solution,1976,Sporting Goods,2861
44,28BF321Ddd65aF7,Harrell LLC,https://villegas.info/,Puerto Rico,Up-sized upward-trending standardization,2011,Motion Pictures / Film,2726
45,43c4fEC9374ccDB,Mayer-Walter,http://www.ramos.com/,Suriname,Assimilated heuristic monitoring,1997,Civic / Social Organization,4595
46,B6C7D83Ac8b2f48,Cooley-Larson,https://washington.com/,Sri Lanka,Advanced fresh-thinking encryption,1988,Furniture,4171
47,DC6d6E7Ea7deAbd,Henson Ltd,https://www.conway.com/,Heard Island and McDonald Islands,Decentralized 6thgeneration Graphical User Interface,2010,Photography,406
48,CDC3230b0a7FaA5,Frye and Sons,https://hughes.net/,Vietnam,Innovative global contingency,2003,Library,746
49,10D5f8e3B8d31B0,"Newton, Ferguson and Camacho",http://barker-mata.com/,Namibia,Realigned incremental leverage,2020,Pharmaceuticals,8287
50,ff0a16aceAAd6de,"Wall, Chandler and Chapman",https://www.melendez.net/,Dominican Republic,Reactive contextually-based pricing structure,1986,Maritime,4604
51,9aAAD5026aa8ABF,Leonard-Wilkinson,http://houston-bailey.com/,Chile,Customer-focused mobile collaboration,1995,Wholesale,8952
52,94FCA153474415b,Walter and Sons,https://hull.com/,Nigeria,Synergistic bifurcated complexity,2014,Information Technology / IT,440
53,bef92c0ca13E5b8,Pratt LLC,https://www.holland.info/,South Georgia and the South Sandwich Islands,Synchronized 4thgeneration moderator,1986,Medical Equipment,5359
54,eBD8BceeFc9A560,Hebert-Santos,http://holloway.com/,Cyprus,Grass-roots optimal analyzer,2004,Gambling / Casinos,7982
55,a3bb544c4f950e5,Hunt Ltd,http://www.fritz.com/,Bahrain,Assimilated optimizing system engine,1977,Primary / Secondary Education,1693
56,C38CF79De2E6b6A,"Gillespie, Hatfield and Mccarty",http://www.acosta-osborne.com/,Indonesia,Object-based zero administration time-frame,1982,Education Management,5784
57,f3ef8FF6A07463C,Little Ltd,https://kramer.net/,South Africa,Sharable coherent leverage,2016,Publishing Industry,7775
58,D3e19C1C996C3bB,Merritt-Mcgrath,http://odonnell.biz/,Egypt,Monitored value-added database,1988,Maritime,6151
59,dEDd9D0Aa6115D3,Collier and Sons,http://www.woodward.com/,Brazil,Organized foreground forecast,2020,Transportation,9151
60,AF1F4eAFeF4dC1a,Brooks LLC,http://www.pollard-gross.com/,Norway,Re-engineered holistic analyzer,2004,Business Supplies / Equipment,58
61,cdbd7720BBA0BF5,"Werner, Berry and Dominguez",http://castro-robles.com/,Botswana,Adaptive dynamic service-desk,2014,Textiles,9676
62,A25549b77E0c766,"Stanton, Graves and Ibarra",http://hanna-hunt.com/,Grenada,Synchronized uniform portal,2000,Professional Training,9431
63,B639Fadb1D47efF,Aguirre Ltd,http://www.wise.com/,Nigeria,Upgradable logistical hierarchy,2020,Public Safety,4941
64,EA8a779beC3c8FF,Romero-Aguirre,https://www.cooley.com/,Bahamas,Digitized demand-driven emulation,2006,Think Tanks,142
65,E91f1F8A749dDaf,Caldwell Inc,https://www.riley-hudson.com/,Morocco,Open-source hybrid analyzer,2008,Library,1729
66,eA78bec48c0fBCe,"Blevins, Love and Banks",http://knight-stevenson.com/,Samoa,Multi-layered needs-based solution,1977,Renewables / Environment,1891
67,f8bD41B97F5e96a,Scott-Ramsey,https://wyatt.com/,Czech Republic,Triple-buffered optimal array,2018,Design,8263
68,BBFAFdac894727a,Kennedy and Sons,http://webb.com/,Peru,Re-engineered modular emulation,1994,Food Production,3296
69,ADfb509e13A3e5e,David and Sons,http://www.barnes.biz/,Serbia,Realigned motivating Local Area Network,2018,Events Services,4660
70,CBE3dA81DFae3a3,Graves Inc,http://www.hinton-potts.com/,Dominican Republic,Cross-group multi-state emulation,1986,Staffing / Recruiting,8802
71,B4Af39eFb508DEE,Mccann-Mcguire,http://www.fleming-farrell.org/,Lesotho,Front-line client-driven project,1970,Legal Services,5800
72,9B19A8FaE4A1EED,Mclean-Mccarty,https://yates.com/,Qatar,Down-sized directional matrices,1978,Transportation,7610
73,fbc90ABEc328e6F,"Sims, Arroyo and Brennan",http://www.blackburn-camacho.net/,Lithuania,Horizontal human-resource synergy,1998,Textiles,4963
74,c8EfD8A1ae4E3CF,Taylor LLC,http://www.spears.com/,Central African Republic,Decentralized heuristic orchestration,1997,Chemicals,8904
75,D9b675D794bBA4e,Young LLC,http://mcintyre-blankenship.org/,Iran,Cross-platform fault-tolerant collaboration,1970,Political Organization,5683
76,38dF1aeDEF8e004,Holden-Wolf,https://flynn-hartman.org/,American Samoa,Mandatory 24hour monitoring,1996,Utilities,5416
77,Da2FE1267CcbbaE,Paul Ltd,http://www.archer.com/,Holy See (Vatican City State),Optional homogeneous throughput,1993,Media Production,4929
78,a45e805Db7fEEE1,Hinton Inc,https://www.hurst.info/,Iran,Inverse well-modulated leverage,2003,Retail Industry,2658
79,50A5cfCDED6ad6a,Stone Inc,http://www.blankenship.info/,Cote d'Ivoire,Triple-buffered web-enabled moderator,1984,Alternative Medicine,816
80,cebd8989bcd3aF8,"Hart, Williamson and Klein",http://burch-montgomery.org/,Suriname,Open-source well-modulated process improvement,1970,Management Consulting,4989
81,9Ff8af1dCacbBBc,Donaldson-Romero,http://anthony.info/,Turkmenistan,Advanced mission-critical capacity,2002,Library,3232
82,89adcc6B8715b23,"Joyce, Turner and Bolton",http://www.long.com/,Bhutan,Balanced bi-directional capability,1975,Online Publishing,6016
83,0bBadDD9247cAbb,Little Ltd,http://www.koch.com/,Mozambique,Cross-platform static workforce,1989,Farming,381
84,89D4ED3f2bd8cdc,Mercado Ltd,https://www.novak-mccarthy.com/,Lebanon,Realigned responsive definition,1971,Consumer Electronics,4759
85,FFDB822C7597C10,Morrow-Lawson,http://www.mann.net/,Antigua and Barbuda,Team-oriented empowering Graphical User Interface,2009,Food / Beverages,3925
86,cC249C3837eBE42,Compton LLC,https://cowan.net/,Tonga,Extended homogeneous hub,1997,Industrial Automation,2011
87,efdFd467F6089d2,Clay-Delgado,https://www.whitney.com/,Morocco,Open-architected 3rdgeneration initiative,2003,Fundraising,7902
88,FE6b0d849EA1ff8,Fuller Inc,http://www.meyers-mcmillan.info/,Guam,Open-architected interactive knowledgebase,2013,Food / Beverages,9074
89,Ba404ddD2AD309a,Mendoza Ltd,https://www.rice-gutierrez.org/,Bahamas,Automated upward-trending migration,2002,Textiles,5158
90,BeeA0cEFCd9B53A,"Mccormick, Stafford and Soto",http://welch.net/,Guyana,Phased empowering monitoring,2000,Health / Fitness,9014
91,E3f8eFc10AD96E9,Robbins-Contreras,https://boyer-nicholson.com/,Lao People's Democratic Republic,Profound optimizing instruction set,1998,Investment Banking / Venture,2330
92,e2d1CfAf492cDD9,"Mcpherson, Gross and Mendez",http://www.sweeney.com/,Morocco,Intuitive mobile application,2002,Maritime,4087
93,A7b73fD2D7A38d0,Adkins Inc,https://www.nunez.info/,Israel,Visionary cohesive focus group,1989,Architecture / Planning,5338
94,0Ab00dcBEb6D7B1,"Watson, Haynes and Phelps",https://www.barnes-cross.com/,Eritrea,Right-sized 3rdgeneration complexity,2006,Capital Markets / Hedge Fund / Private Equity,7978
95,A84Ee68CaB3A6d3,"Higgins, Stout and Page",https://graves-lewis.com/,South Africa,Configurable impactful superstructure,1997,Music,2806
96,70EECEEE7D6fAEc,Byrd Inc,https://dunlap.biz/,Cocos (Keeling) Islands,Sharable discrete frame,2016,Events Services,2240
97,7647af9d4705c6b,Norton Group,https://collins-michael.com/,Burundi,Right-sized 3rdgeneration moderator,2016,Utilities,9497
98,1AEB08bDDcE7AB3,"Preston, Evans and Woodward",http://www.wise.biz/,Venezuela,Visionary transitional hierarchy,1984,Museums / Institutions,4291
99,7Ff02e57F063f64,Miranda Group,https://www.wong.net/,Vietnam,Reactive upward-trending project,1995,Business Supplies / Equipment,7429
100,06Df66C7ec45CF9,Malone-Odom,https://roy.com/,Nepal,Persevering tertiary intranet,1997,Alternative Medicine,4897
101,9Dd10a3ccB2B1Bd,Gamble-Hill,https://www.chaney-eaton.com/,Brunei Darussalam,Extended zero administration database,1993,Computer / Network Security,3468
102,51D98A4d3dbc733,"Russo, Berger and Hopkins",http://casey-archer.com/,Micronesia,Synergistic cohesive parallelism,2011,Insurance,3415
103,c763F85Cc571e19,Wilcox LLC,https://www.holder.info/,Brazil,Organized user-facing analyzer,1988,Computer Games,8471
104,9FB0F575EDa185e,Pham-Bond,https://www.vance.com/,Comoros,Multi-tiered grid-enabled flexibility,1987,Real Estate / Mortgage,6746
105,84eE8fCfEAbB3E1,Bush and Sons,https://www.harrison-cantrell.info/,Tunisia,Stand-alone holistic throughput,2015,Railroad Manufacture,6321
106,c18b4aaD9AdF4cF,Donaldson Group,https://www.horton.biz/,Belarus,Streamlined coherent functionalities,2016,Shipbuilding,1027
107,2A7407b15FB99De,Heath-Barrera,https://www.shah.com/,Senegal,Innovative fresh-thinking capability,2018,Retail Industry,9569
108,96BBBefa9D8DaEc,Ward and Sons,https://www.porter.com/,France,Distributed intermediate conglomeration,2001,Veterinary,8887
109,c85a9a15aaD5EF6,Nielsen-Cooper,https://rojas-braun.com/,Tunisia,Polarized composite circuit,1975,Law Practice / Law Firms,5303
110,Df5EA12EAde4A57,Davies-Fox,https://www.kramer.net/,Philippines,Devolved heuristic standardization,1982,Program Development,6397
111,702ce2294FEb1a9,Griffith Group,http://www.brock.info/,Djibouti,Monitored disintermediate adapter,2009,Furniture,1839
112,f8BE211aFDEbb11,"Welch, Blake and Hamilton",https://case-mathews.info/,Singapore,Profit-focused systematic contingency,1972,Program Development,2059
113,2e115d638A08555,"Henry, Mendoza and Holder",https://villegas-odom.com/,Yemen,Devolved local productivity,2014,Renewables / Environment,1126
114,dDba684d69764EB,Conley Group,http://santana.com/,British Indian Ocean Territory (Chagos Archipelago),Balanced coherent contingency,2013,Events Services,3806
115,A6fBFF338EF6daF,Duncan-Bradshaw,https://lawson-douglas.com/,Oman,Multi-tiered intermediate process improvement,1998,Wine / Spirits,7209
116,F801BAC42f9ac1F,Rowland Group,http://www.sutton-reynolds.com/,Antigua and Barbuda,Assimilated stable capacity,2000,Computer Games,4998
117,BD5d1C11032C2C0,"Pacheco, Wheeler and Watts",http://www.hoffman-floyd.com/,Solomon Islands,Reduced multi-state interface,1971,Wireless,5726
118,F9A0D3AD04Fd9Fe,Mccann LLC,https://www.duran.com/,Malaysia,Self-enabling 24hour firmware,2009,Maritime,7152
119,53b148AfFae7F4c,"Case, Luna and Ballard",https://www.odonnell.com/,Korea,Customer-focused reciprocal circuit,1976,Market Research,1202
120,0dCA8aFEfdA7CFA,Hardy-Clements,http://rollins.com/,El Salvador,Automated transitional model,2010,Machinery,8486
121,4B8B4E2fF70cd78,"Snyder, Levine and Dodson",http://www.horn-sloan.net/,Saudi Arabia,Decentralized bandwidth-monitored website,2019,Museums / Institutions,8656
122,C49FF4A4319C6F2,"Lopez, Moyer and Crane",https://www.patterson-leonard.com/,Western Sahara,De-engineered transitional success,1985,Mechanical or Industrial Engineering,9665
123,E8920CaBc59fb1e,Robles-Hubbard,http://santos.com/,Micronesia,Stand-alone client-server matrix,2021,Executive Office,3536
124,C3Ea6c9A31EDf44,Sanchez-Bell,https://www.grant-duffy.com/,Lao People's Democratic Republic,Automated upward-trending emulation,1987,Graphic Design / Web Design,9240
125,DcFdAc12Eca9f34,Adams and Sons,https://www.paul.biz/,Philippines,Organized motivating protocol,1987,Computer / Network Security,1107
126,F56155A0A9cE693,Cole-Gordon,http://bauer.biz/,Bahrain,Distributed local implementation,2017,Furniture,7082
127,A8fBcDe7DcD5EF4,"Burnett, Estes and Bush",http://www.barrett.com/,Yemen,Front-line tangible open system,2012,Paper / Forest Products,5608
128,d41EdeefDcd9E33,Bautista PLC,http://www.oconnell.biz/,Rwanda,Progressive 3rdgeneration knowledge user,1987,Nanotechnology,7917
129,bdf1B9F31A0daCB,Alvarado Inc,http://www.bowen-callahan.org/,Bhutan,Enhanced client-server leverage,2020,Hospitality,4256
130,5FBF974EC5AaDd4,"Rios, Floyd and Diaz",http://www.davis.org/,South Georgia and the South Sandwich Islands,Exclusive object-oriented firmware,1975,Farming,2319
131,F4BDEc9dBC6fD93,Pacheco-Bruce,http://duffy-kent.com/,Ecuador,Open-architected radical website,1982,Furniture,20
132,e00A9bD20C3D36d,"Mckenzie, Mcclain and Benson",http://sheppard.org/,New Zealand,Universal multimedia utilization,1973,Think Tanks,5644
133,cb63A5285E8ADa9,Hodges-Rollins,https://www.conway.biz/,Tanzania,Re-contextualized real-time task-force,1970,Mechanical or Industrial Engineering,8970
134,aEA01BCfC2356ea,Baker-Sexton,https://www.sheppard.com/,Portugal,Cross-platform tertiary neural-net,2007,Commercial Real Estate,2441
135,EBF6F5440f6bbf4,"Mckay, Cervantes and Blevins",https://santana-nielsen.com/,Western Sahara,Integrated full-range interface,1977,Investment Management / Hedge Fund / Private Equity,9237
136,8Bb4d87c9E9b58d,"Livingston, Stein and Byrd",https://jackson.biz/,India,Phased system-worthy parallelism,2019,Internet,8578
137,9Fe8c132becBbc3,Sweeney-Melendez,http://cardenas-mendoza.com/,United Kingdom,Networked national installation,1984,Newspapers / Journalism,4206
138,4BEaCCfEc62bbD7,Vaughan LLC,http://www.cantu.info/,Dominican Republic,Fundamental bifurcated support,2015,Banking / Mortgage,7755
139,c3C4eaDedDCaacb,Pitts Ltd,https://www.patrick-townsend.com/,Georgia,Adaptive system-worthy knowledgebase,1989,Public Relations / PR,2674
140,E3bE91a65f9A038,Drake LLC,http://mitchell-melton.com/,Vanuatu,Total modular intranet,1971,Restaurants,9615
141,Ee1ceD4ADDcb30b,"Mcguire, Ritter and Warren",http://ward.com/,Tunisia,Business-focused well-modulated initiative,2006,Events Services,3329
142,6E27b1769cc86dB,"Ware, Smith and Mendez",https://tucker-peck.com/,Vietnam,Reactive responsive archive,1997,Venture Capital / VC,8518
143,3aECBE853D893db,"Glenn, Savage and Ewing",https://www.guerra-gillespie.org/,French Southern Territories,Programmable actuating application,1981,Animation,6826
144,6b1Bbe5DfDAc090,"Townsend, Richmond and Underwood",http://www.christensen.com/,Congo,Intuitive multimedia monitoring,1973,Music,9915
145,4D17Fa0d985e0d7,"Mcpherson, Cameron and Whitehead",http://www.schneider.com/,Azerbaijan,Balanced zero tolerance extranet,1978,Wine / Spirits,5942
146,A1Fd7C8D8bD67aC,Gross-Duncan,http://haley.com/,Somalia,Quality-focused tangible product,2017,Cosmetics,723
147,C32b949fbEf9De1,Hutchinson-Leblanc,http://lamb-cameron.com/,Tuvalu,Advanced modular concept,2007,Wine / Spirits,1431
148,b4F29b10aEa87C4,Caldwell-Atkins,http://bryant.com/,Svalbard & Jan Mayen Islands,Advanced value-added data-warehouse,2000,Media Production,8706
149,27Eab75cE19c101,"Castro, Moses and Wolfe",https://lowery.com/,Antarctica (the territory South of 60 deg S),Customizable 24hour software,1997,Veterinary,2878
150,Bbd8aa10dDeb16B,Branch-Cross,https://www.cohen.com/,Guam,Secured asynchronous budgetary management,1990,Investment Banking / Venture,1228
151,ec1dDbcbd1c649F,"Chung, Patel and Moore",https://whitney-andrade.com/,Ecuador,Grass-roots scalable circuit,2008,Primary / Secondary Education,2928
152,1AEe77Abf8647f4,Castro-Mercer,http://merritt.com/,Jersey,Synergistic global leverage,1974,Industrial Automation,3308
153,93b4928C0CF88A7,Owens PLC,https://www.wall-carey.com/,Sudan,User-centric asymmetric system engine,2008,Legal Services,4343
154,F45eF42F481bEE8,"Goodwin, Callahan and Pratt",http://www.hahn.com/,Nauru,Innovative multi-state model,1998,Architecture / Planning,7808
155,334B91221694B23,Stephens Group,http://www.howe-hays.com/,Comoros,Vision-oriented discrete contingency,1983,Fundraising,953
156,d855ba47c73D08e,"Davies, Sloan and Ashley",https://www.george.org/,Malaysia,Progressive eco-centric migration,1989,Airlines / Aviation,4281
157,c36DC0a889fffC8,"Conner, Ferguson and Baxter",http://www.frank.com/,Tuvalu,User-centric user-facing migration,2016,Biotechnology / Greentech,3528
158,F7D126ABdBA0CB9,"Freeman, Robbins and Joseph",https://www.choi-mcmahon.com/,Falkland Islands (Malvinas),Re-engineered 24hour matrix,1993,International Affairs,7067
159,Da71cDD001e06d6,Orr-Joseph,http://www.dodson-gallagher.net/,Congo,Implemented composite implementation,2001,Textiles,4375
160,a376A6d71F1c36C,Mills-Humphrey,https://www.barker.info/,Brazil,Inverse optimizing architecture,2017,Luxury Goods / Jewelry,3778
161,Ef65aeBCdfBc7f2,"Cameron, Osborn and Pollard",http://www.frazier.info/,French Polynesia,Compatible zero tolerance hierarchy,2018,Mechanical or Industrial Engineering,2775
162,B73E7caC4Fae8fe,Young Inc,https://stout-schwartz.com/,Costa Rica,Automated logistical migration,2001,Computer Networking,3541
163,eec9cEbD4CdFD4E,Lam Group,http://koch.org/,Kazakhstan,Configurable 4thgeneration archive,2006,Broadcast Media,2760
164,907676d61B5FCE3,"Molina, Alexander and Reilly",https://conrad.com/,Svalbard & Jan Mayen Islands,Re-engineered multimedia capability,1993,Construction,765
165,badd0d0BceD2Ee2,Bush PLC,http://macdonald.org/,Taiwan,Versatile fault-tolerant open system,2016,Arts / Crafts,4505
166,a5E8ce5cF97c2AC,"Novak, Mcguire and Copeland",http://www.tate.com/,Chad,Vision-oriented even-keeled groupware,2011,Packaging / Containers,8128
167,c158808CA005a75,"Mullins, Cook and Webb",https://www.henson-farmer.com/,Lebanon,Synergized object-oriented circuit,1998,Entertainment / Movie Production,4556
168,d74C1a7b5F21EdF,Costa PLC,https://smith.com/,Somalia,Self-enabling 6thgeneration database,1982,Arts / Crafts,5077
169,a6Bc77d5cE07c7B,Parker Ltd,https://www.burch.org/,Christmas Island,User-friendly human-resource core,2009,Accounting,6947
170,ecbDde6BAAcE59e,Hickman LLC,http://www.bender.com/,Nigeria,Versatile interactive throughput,2011,Industrial Automation,1282
171,2bEBfED593D58cC,Horton Inc,https://hartman-poole.com/,Serbia,Reduced optimizing hub,2006,Food / Beverages,3599
172,924FC506bd20747,Perez Inc,http://barry.org/,Haiti,Enterprise-wide bandwidth-monitored workforce,2020,Paper / Forest Products,3215
173,3bc225574eaD26F,Lucero-Rodriguez,http://krueger.com/,Switzerland,Down-sized zero tolerance complexity,1976,Defense / Space,9625
174,8b6cbF8AC0c123e,Boyd Group,https://blair.info/,Moldova,Multi-channeled bandwidth-monitored system engine,1995,Medical Equipment,7344
175,522809bebBfcE43,Pollard LLC,http://www.paul-stein.com/,French Guiana,Cross-group zero tolerance info-mediaries,2013,Performing Arts,9329
176,B3eA88cB559EDd6,Mckay Group,http://baird.biz/,Indonesia,Phased empowering benchmark,2021,Consumer Electronics,2304
177,4b0Ff29BAc3B2FC,"Moran, Nichols and Kelly",http://irwin.com/,Solomon Islands,Adaptive tertiary data-warehouse,1970,Alternative Medicine,1124
178,55BedDB39244a34,"Franklin, Parsons and Mccoy",https://blackwell.info/,Mozambique,Stand-alone client-driven orchestration,2004,Textiles,6962
179,0b8D9a20E42358C,Alvarez LLC,http://www.yates-buck.com/,Seychelles,Digitized static orchestration,1973,Research Industry,5176
180,CCb6A3bcCCd8BD0,Ballard-Benjamin,https://www.torres.com/,Gambia,Future-proofed transitional initiative,1984,Consumer Electronics,1339
181,E7EF4829bE63DcB,"Byrd, Wallace and Bryan",http://moore.com/,Zimbabwe,Networked high-level forecast,1975,Package / Freight Delivery,5371
182,2CF1Cef7d253FD3,Hayden and Sons,https://kirk.com/,Norfolk Island,Open-architected eco-centric standardization,2013,Hospital / Health Care,8746
183,fb20B12fCf3f4Be,"Hicks, Hall and Hopkins",http://gilmore.net/,Benin,Upgradable dynamic knowledge user,1979,Writing / Editing,9652
184,E1DD58a2ceD2812,Koch Group,https://www.mendoza.com/,Croatia,Progressive upward-trending flexibility,1994,Government Relations,6847
185,9e8BDfEF88aa4e9,"Barajas, Hunt and Frye",http://www.richard.com/,Denmark,Versatile logistical monitoring,1980,Philanthropy,3233
186,6D359E1183d3849,Raymond-Rivers,https://avery.net/,Nicaragua,Public-key needs-based middleware,1995,Plastics,3836
187,529e8D003d34c28,"Newman, Medina and Luna",http://www.curtis.com/,Korea,Reduced logistical benchmark,1971,Think Tanks,876
188,2eaA3c5D6CC37B9,Schneider-Elliott,https://molina.com/,Bahamas,Synchronized zero administration core,2021,Supermarkets,7306
189,67eeACAbCfcCB6c,"Mays, Robles and Shah",https://myers.com/,Cambodia,Focused logistical project,1989,Chemicals,9666
190,EEf6db5cCece24A,Huynh and Sons,https://christian.com/,Swaziland,User-centric mission-critical knowledgebase,1993,Furniture,1359
191,4c99A0E9FF8ED03,Gonzales-Schneider,https://chavez.com/,Timor-Leste,Triple-buffered asymmetric structure,1989,Oil / Energy / Solar / Greentech,687
192,F8efFDd1fE6cfC0,Harding Inc,http://www.roach-best.net/,Pakistan,Profit-focused hybrid emulation,1986,Events Services,6891
193,21A92A2a6D4Faa2,Shelton PLC,https://medina.info/,Saudi Arabia,Multi-layered client-server Internet solution,1973,Food Production,9909
194,139AB569bdfCE4F,"Elliott, Hood and Estrada",https://www.harmon-bowers.com/,Ethiopia,Persistent even-keeled workforce,2014,Automotive,3493
195,4dbcfb13CF62f8F,"Ayers, Pierce and Vang",http://www.durham.com/,Bahamas,Profit-focused tertiary access,1974,Professional Training,6594
196,AbE6001BADABaEe,"Cardenas, Brown and Melton",http://garrison.biz/,Thailand,Front-line content-based hardware,1980,Hospitality,8328
197,aeec625Ffe6BbCC,Espinoza PLC,http://strickland.com/,Colombia,Horizontal hybrid groupware,1999,Construction,4441
